Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT
1601276400.0,2020-09-28 07-AM,ETHUSDT,356.61,356.82,355.34,355.34,3567.6,1271725.01
1601272800.0,2020-09-28 06-AM,ETHUSDT,357.52,358.31,355.59,356.61,26005.68,9284710.34
1601269200.0,2020-09-28 05-AM,ETHUSDT,358.56,360.26,357.12,357.52,26982.45,9683105.42
1601265600.0,2020-09-28 04-AM,ETHUSDT,358.05,359.32,357.38,358.56,18804.03,6741644.54
1601262000.0,2020-09-28 03-AM,ETHUSDT,358.45,358.79,356.68,358.05,20238.73,7240190.01
1601258400.0,2020-09-28 02-AM,ETHUSDT,359.36,360.5,357.75,358.45,22632.26,8123856.8
1601254800.0,2020-09-28 01-AM,ETHUSDT,357.85,359.36,357.35,359.36,25063.37,8987887.41
1601251200.0,2020-09-28 12-AM,ETHUSDT,357.49,360.69,357.16,357.85,64437.98,23123474.42
1601247600.0,2020-09-27 11-PM,ETHUSDT,354.55,357.8,353.5,357.49,23643.91,8413999.36
1601244000.0,2020-09-27 10-PM,ETHUSDT,352.96,355.83,352.95,354.55,10716.39,3800979.35
1601240400.0,2020-09-27 09-PM,ETHUSDT,353.29,354.34,352.25,352.96,4930.45,1740883.19
1601236800.0,2020-09-27 08-PM,ETHUSDT,354.09,354.41,353.03,353.29,9161.07,3239180.74
1601233200.0,2020-09-27 07-PM,ETHUSDT,351.95,354.47,351.5,354.09,15197.22,5365512.96
1601229600.0,2020-09-27 06-PM,ETHUSDT,352.62,353.94,351.5,351.95,12925.52,4561630.95
1601226000.0,2020-09-27 05-PM,ETHUSDT,353.89,354.42,352.21,352.62,18645.53,6585099.63
1601222400.0,2020-09-27 04-PM,ETHUSDT,355.58,357.15,353.23,353.89,31069.64,11034190.35
1601218800.0,2020-09-27 03-PM,ETHUSDT,351.58,356.71,349.29,355.58,34716.12,12248133.63
1601215200.0,2020-09-27 02-PM,ETHUSDT,352.39,353.15,350.61,351.58,14018.29,4930655.06
1601211600.0,2020-09-27 01-PM,ETHUSDT,352.38,352.72,351.29,352.39,13040.01,4591747.97
1601208000.0,2020-09-27 12-PM,ETHUSDT,349.18,352.59,347.24,352.38,29463.4,10325318.4
1601204400.0,2020-09-27 11-AM,ETHUSDT,352.68,353,348.85,349.18,20127.99,7069241.96
1601200800.0,2020-09-27 10-AM,ETHUSDT,350.66,353.31,350.12,352.68,19167.44,6744770.74
1601197200.0,2020-09-27 09-AM,ETHUSDT,352.52,352.62,350.3,350.66,21303.91,7491823.66
1601193600.0,2020-09-27 08-AM,ETHUSDT,354.34,354.34,350.26,352.52,33457.52,11787808.37
1601190000.0,2020-09-27 07-AM,ETHUSDT,353.2,355,353.02,354.34,20153.08,7137346.58
1601186400.0,2020-09-27 06-AM,ETHUSDT,360.45,360.78,352.5,353.2,50554.47,18029919.57
1601182800.0,2020-09-27 05-AM,ETHUSDT,361.03,362.14,359.3,360.45,24459.79,8821346.66
1601179200.0,2020-09-27 04-AM,ETHUSDT,359.42,362,359.39,361.03,22239.59,8024259.72
1601175600.0,2020-09-27 03-AM,ETHUSDT,359.4,360.28,358.4,359.42,25799.3,9271638.09
1601172000.0,2020-09-27 02-AM,ETHUSDT,359.74,360.81,358.2,359.4,27503.99,9880130.24
1601168400.0,2020-09-27 01-AM,ETHUSDT,359.77,362,358.45,359.74,40362.14,14545894.6
1601164800.0,2020-09-27 12-AM,ETHUSDT,353.92,360,353.52,359.77,46911.8,16769850.9
1601161200.0,2020-09-26 11-PM,ETHUSDT,353.16,355.3,353.16,353.92,15232.14,5399490.47
1601157600.0,2020-09-26 10-PM,ETHUSDT,352.38,354.35,350.95,353.16,13208.89,4657925.96
1601154000.0,2020-09-26 09-PM,ETHUSDT,353.44,355.45,352.38,352.38,15199.2,5390630.75
