Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1601276400.0,2020-09-28 07-AM,ETHUSD,357.7,357.7,357.11,357.11,0.0,0.0
1601272800.0,2020-09-28 06-AM,ETHUSD,358.75,359.11,356.68,357.7,1441.09,515691.03
1601269200.0,2020-09-28 05-AM,ETHUSD,359.55,361.15,358.24,358.75,837.44,301292.61
1601265600.0,2020-09-28 04-AM,ETHUSD,359,360.06,358.53,359.55,314.17,112944.66
1601262000.0,2020-09-28 03-AM,ETHUSD,359.32,359.69,357.66,359,565.84,202906.92
1601258400.0,2020-09-28 02-AM,ETHUSD,360.05,361.52,358.96,359.32,520.84,187618.23
1601254800.0,2020-09-28 01-AM,ETHUSD,358.55,360.36,358.44,360.05,797.77,286810.77
1601251200.0,2020-09-28 12-AM,ETHUSD,358.46,361.7,358.34,358.55,4923.73,1772428.34
1601247600.0,2020-09-27 11-PM,ETHUSD,355.33,358.71,354.62,358.46,1062.54,379073.09
1601244000.0,2020-09-27 10-PM,ETHUSD,354.03,356.97,354.03,355.33,477.45,169847.41
1601240400.0,2020-09-27 09-PM,ETHUSD,354.32,355.37,353.5,354.03,509.41,180429.62
1601236800.0,2020-09-27 08-PM,ETHUSD,355.16,355.5,354.3,354.32,6570.1,2330309.6
1601233200.0,2020-09-27 07-PM,ETHUSD,352.71,355.39,352.25,355.16,6006.1,2127488.94
1601229600.0,2020-09-27 06-PM,ETHUSD,353.37,354.57,352.25,352.71,427.37,151137.03
1601226000.0,2020-09-27 05-PM,ETHUSD,354.72,355.05,353.25,353.37,454.12,160692.78
1601222400.0,2020-09-27 04-PM,ETHUSD,356.13,357.77,354.17,354.72,1133.93,403573.03
1601218800.0,2020-09-27 03-PM,ETHUSD,352.19,357.38,350.08,356.13,7328.2,2598685.44
1601215200.0,2020-09-27 02-PM,ETHUSD,353.21,353.8,351.32,352.19,1042.19,367418.6
